deal_price,price_per_sqm,region_code,region_name,city,district,street,area,realestate_type_name,purpose_name,wall_material_name,floor,area_category,price_per_sqm_category,period_start_date,year_build,year,month
25000.0,757.6,26.0,Ставропольский край,Железноводск,Не указано,Согласия,33.0,Помещение,Жилое помещение,Кирпич,1.0,30-50 кв.м,До 10 тыс/кв.м,2024-01-01,2017.0,2024,1
1000.0,15.3,67.0,Смоленская область,Велиж,Велижский,Ленинградская,65.5,Здание,Нежилое здание,Панели,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
3508704.0,6183.8,50.0,Московская область,Подольск,Не указано,Железнодорожная,567.4000000000001,Помещение,Нежилое помещение,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1960.0,2024,1
10000.0,70.4,77.0,Москва,муниципальный округ Пресненский,Не указано,Красная Пресня,142.1,Помещение,Нежилое помещение,Кирпич,3.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1900.0,2024,1
207480.0,70.3,37.0,Ивановская область,Иваново,Не указано,Почтовая,2950.0,Здание,Нежилое здание,Кирпич,,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2015.0,2024,1
420000.0,3309.7,3.0,Республика Бурятия,Кижинга,Кижингинский,Трактовая,126.9,Здание,Нежилое здание,Дерево,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1980.0,2024,1
90524.0,610.0,25.0,Приморский край,Находка,Не указано,Владивостокская,148.4,Помещение,Нежилое помещение,Не указано,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1953.0,2024,1
10903.0,177.6,78.0,Санкт-Петербург,Не указано,Не указано,Жака Дюкло,61.4,Помещение,Нежилое помещение,Кирпич,1.0,50-100 кв.м,До 10 тыс/кв.м,2024-01-01,1971.0,2024,1
60000.0,65.5,30.0,Астраханская область,Тамбовка,Харабалинский,Не указано,915.6,Здание,Нежилое здание,Блоки,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,2007.0,2024,1
63029.04,3622.4,66.0,Свердловская область,Верхняя Салда,Не указано,Воронова,17.4,Помещение,Нежилое помещение,Кирпич,,До 30 кв.м,До 10 тыс/кв.м,2024-01-01,1977.0,2024,1
150000.0,1216.5,50.0,Московская область,Подольск,Не указано,43-й Армии,123.3,Помещение,Нежилое помещение,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2014.0,2024,1
1244160.0,563.3,62.0,Рязанская область,Рязань,Не указано,Новослободская,2208.7,Здание,Нежилое здание,Кирпич,3.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1959.0,2024,1
6527993.52,16623.4,16.0,Республика Татарстан,Казань,Не указано,Чистопольская,392.7,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,10-50 тыс/кв.м,2024-01-01,1987.0,2024,1
2605440.0,9600.0,46.0,Курская область,Курск,Не указано,Харьковская,271.4,Помещение,Нежилое помещение,Кирпич,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1958.0,2024,1
1694856.0,115.1,37.0,Ивановская область,Иваново,Не указано,Шереметевский,14720.4,Здание,Нежилое здание,Кирпич,8.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1977.0,2024,1
1080000.0,9591.5,78.0,Санкт-Петербург,Не указано,Не указано,Софьи Ковалевской,112.6,Помещение,Нежилое помещение,Не указано,,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,1995.0,2024,1
60000.0,377.1,12.0,Республика Марий Эл,Мари-Турек,Мари-Турекский,Заводская,159.1,Здание,Нежилое здание,Кирпич,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,2011.0,2024,1
10000.0,94.6,50.0,Московская область,Павловский Посад,Павлово-Посадский,Кузьмина,105.7,Помещение,Нежилое помещение,Блоки,1.0,100-200 кв.м,До 10 тыс/кв.м,2024-01-01,,2024,1
430417.64,871.5,30.0,Астраханская область,Никольское,Енотаевский,Московская,493.9,Здание,Нежилое здание,Панели,1.0,Свыше 200 кв.м,До 10 тыс/кв.м,2024-01-01,1976.0,2024,1
