type,price,price_per_sqm,area,rooms,living_area,kitchen_area,gas,material,build_year,build_series_category,published,updated,level,levels,rubbish_chute,enterances,build_overlap,build_walls,heating,areaRating,city,remoute_from_center,agencyName,longitude,latitude
Многоквартирный дом,14000.0,311.0,45.0,1,18.0,12.0,Да,кирпич,2017.0,unknown,2021-06-30,2022-02-07,6,7,0,1,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,1.4316844148535277,маргарита,47.91326275665279,56.63533359402351
Многоквартирный дом,25000.0,321.0,78.0,2,40.0,15.0,Да,кирпич,2010.0,brick_series,2021-09-24,2022-02-08,10,14,Нет,7,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,2.248779705233922,АН Ассоль,47.855726,56.644668
Многоквартирный дом,15000.0,395.0,38.0,1,18.0,12.0,Да,кирпич,2014.0,unknown,2022-02-08,2022-02-08,7,9,Нет,10,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,3.93126184985298,Светлана,47.82726316059711,56.63416097985311
Многоквартирный дом,10000.0,200.0,50.0,2,,9.0,Да,кирпич,1988.0,unknown,2020-12-29,2022-02-09,2,10,0,1,0,Кирпич,центральное,3.6344512,Йошкар-Ола,3.1975233729909904,"Риелторская компания ""Партнеры""",47.94111,56.631337
Многоквартирный дом,14000.0,333.0,42.0,1,,9.0,Да,кирпич,2015.0,brick_series,2022-01-18,2022-02-09,7,10,Нет,6,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,2.2821603239407224,АН Ассоль,47.927968,56.639115
Многоквартирный дом,25500.0,392.0,65.0,2,35.0,13.0,Да,кирпич,2017.0,brick_series,2022-02-07,2022-02-08,4,9,Нет,0,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,1.702393895991043,Ольга,47.9182288101938,56.6409989627357
Многоквартирный дом,11000.0,344.0,32.0,1,18.0,6.0,Да,кирпич,1981.0,unknown,2022-02-08,2022-02-10,3,5,Нет,7,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.997861402836282,Александр,47.902339000000005,56.645074
Многоквартирный дом,9500.0,297.0,32.0,1,17.0,8.0,Да,кирпич,1993.0,brick_series,2022-02-08,2022-02-09,1,5,Нет,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,4.376932954790669,Первый Мега-магазин недвижимости,47.821563,56.629288
Многоквартирный дом,23000.0,329.0,70.0,2,,,Да,кирпич,1953.0,unknown,2016-10-26,2022-02-10,1,5,0,2,Деревянные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.0369527215039074,Оксана,47.873917,56.638159
Многоквартирный дом,10000.0,286.0,35.0,1,19.0,9.0,Да,панель,1988.0,panel_series,2022-01-24,2022-02-08,3,5,Нет,2,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,4.995649017887324,Актив,47.969758,56.649691
Многоквартирный дом,18000.0,341.0,52.8,2,28.1,9.6,Да,кирпич,2010.0,brick_series,2022-01-31,2022-02-10,6,9,Нет,7,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,2.259600451012813,Irina,47.855842,56.645188
Квартира,8500.0,243.0,35.0,1,20.0,8.0,unknown,кирпич,,unknown,2022-02-10,2022-02-10,8,9,0,0,0,0,0,3.6344512,Йошкар-Ола,4.372003222881919,Первый Мега-магазин недвижимости,47.819532,56.63920400000001
Многоквартирный дом,12000.0,286.0,42.0,1,20.0,10.0,Да,кирпич,2009.0,unknown,2022-02-08,2022-02-08,2,10,Есть,2,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.7526753430224709,Агентство недвижимости «у‑ola12»,47.862265,56.63969399999999
Многоквартирный дом,15000.0,373.0,40.2,1,17.0,12.0,Да,кирпич,2008.0,brick_series,2021-07-25,2022-02-07,5,9,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.8289631691409665,АН Ассоль,47.898548,56.644861
Квартира,17000.0,425.0,40.0,1,17.0,13.0,unknown,кирпич,,unknown,2022-02-07,2022-02-10,4,9,0,0,0,0,0,3.6344512,Йошкар-Ола,1.6332046751719025,Юлия,47.917368,56.638090000000005
Квартира,20000.0,476.0,42.0,1,25.0,12.0,unknown,кирпич,,unknown,2020-04-06,2022-02-10,7,9,0,0,0,0,0,3.6344512,Йошкар-Ола,4.365795925857768,Владимир,47.81966894693829,56.637480134593496
Многоквартирный дом,20000.0,364.0,55.0,2,,10.0,Да,кирпич,2008.0,brick_series,2022-02-08,2022-02-08,3,5,0,4,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.7881104633070604,Первый Мега-магазин недвижимости,47.894865,56.63206
Квартира,15000.0,300.0,50.0,1,,,unknown,кирпич,,unknown,2022-02-08,2022-02-09,2,10,0,0,0,0,0,3.6344512,Йошкар-Ола,2.130985317099217,Первый Мега-магазин недвижимости,47.924644,56.64301999999999
Многоквартирный дом,18000.0,265.0,68.0,3,,,Да,панель,1975.0,brick_series,2022-02-08,2022-02-09,6,9,Есть,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.4035205055588085,Первый Мега-магазин недвижимости,47.895144,56.641481000000006
Многоквартирный дом,14000.0,250.0,56.0,2,32.0,12.0,Да,кирпич,1991.0,brick_series,2022-02-09,2022-02-09,2,5,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.447323190139562,Дарья,47.88652,56.642030000000005
Многоквартирный дом,10000.0,250.0,40.0,2,25.0,6.0,Да,кирпич,1970.0,brick_series,2022-02-07,2022-02-07,2,5,Нет,2,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.5830720129906742,РиэлтСервис,47.89959,56.636808
Многоквартирный дом,11000.0,297.0,37.0,1,,9.0,Да,кирпич,2014.0,unknown,2022-01-17,2022-02-10,5,5,Нет,3,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,5.275517529117737,Агентство недвижимости,47.976513,56.642365000000005
Многоквартирный дом,14000.0,378.0,37.0,1,17.0,8.0,Да,кирпич,2016.0,brick_series,2022-02-08,2022-02-08,8,9,Нет,4,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,2.7661996602010914,Продавец,47.846958,56.644609
Многоквартирный дом,11000.0,239.0,46.0,2,,,Да,панель,1967.0,panel_series,2022-02-08,2022-02-08,1,5,Нет,4,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,0.9557914891588244,Флагман,47.876716607131904,56.635080125644905
unknown,12000.0,343.0,35.0,1,20.0,7.0,unknown,панель,1992.0,other_series,2021-10-15,2022-02-10,7,9,0,1,Железобетонные,Панельные,0,3.6344512,Йошкар-Ола,1.9828000461427644,Первый Мега-магазин недвижимости,47.922946,56.63707
Многоквартирный дом,13000.0,186.0,70.0,3,45.0,6.0,Да,панель,1984.0,panel_series,2022-02-05,2022-02-09,2,10,Нет,6,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,3.678872369049408,александр,47.830887,56.637273
Многоквартирный дом,13000.0,241.0,54.0,2,,9.0,Да,панель,1989.0,panel_series,2018-07-26,2022-02-08,2,5,Нет,6,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,3.625847336618989,АГЕНТСТВО,47.831894,56.63607
Многоквартирный дом,12000.0,200.0,60.0,2,35.0,12.0,Да,кирпич,1994.0,unknown,2021-12-28,2022-02-06,2,5,Нет,2,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.4362074908622828,Светлана,47.875183,56.62915400000001
Квартира,18000.0,462.0,39.0,1,,,unknown,кирпич,,unknown,2022-02-04,2022-02-09,6,10,0,0,0,0,0,3.6344512,Йошкар-Ола,1.6910929008642146,Baby Shop Yoshka,47.876671,56.625725
Многоквартирный дом,10000.0,270.0,37.0,1,18.0,11.0,Да,кирпич,1999.0,brick_series,2020-11-12,2022-02-10,1,9,Нет,4,Железобетонные,Кирпич,"автономная котельная (крышная, встроенно-пристроенная)",3.6344512,Йошкар-Ола,4.322612537128368,Первый Мега-магазин недвижимости,47.822164,56.629996
Многоквартирный дом,20000.0,345.0,58.0,2,35.0,11.0,Да,кирпич,1964.0,brick_series,2022-02-06,2022-02-06,2,4,Нет,4,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.336684082977786,Агата,47.872874,56.645608
Многоквартирный дом,9300.0,233.0,40.0,1,18.0,7.0,Да,панель,1996.0,panel_series,2016-03-09,2022-02-10,3,9,Есть,4,Железобетонные,Панельные,центральное,3.6344512,Йошкар-Ола,3.074286395955805,БАЗИС,47.841977,56.645027
Многоквартирный дом,11000.0,229.0,48.0,2,35.0,6.0,Да,кирпич,1969.0,brick_series,2022-02-06,2022-02-07,3,6,Нет,3,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.961255367709963,Первый Мега-магазин недвижимости,47.88245,56.621766
unknown,13000.0,351.0,37.0,1,18.0,10.0,unknown,кирпич,,unknown,2021-09-14,2022-02-10,7,9,0,0,0,Не заполнено,0,3.6344512,Йошкар-Ола,2.312223994563181,Агентство недвижимости «у‑ola12»,47.853839,56.642876
Многоквартирный дом,12000.0,267.0,45.0,1,25.0,10.0,Да,монолит,1996.0,monolith_series,2022-02-07,2022-02-10,6,14,Нет,1,Железобетонные,Монолитные,центральное,3.6344512,Йошкар-Ола,3.293672283517376,Первый Мега-магазин недвижимости,47.936736,56.623494
Квартира,8000.0,143.0,56.0,2,37.0,9.0,unknown,кирпич,,unknown,2021-07-03,2022-02-10,2,9,0,0,0,0,0,3.6344512,Йошкар-Ола,0.8468767012747616,Дарья,47.886178,56.6316
Многоквартирный дом,10000.0,278.0,36.0,1,,7.0,Да,кирпич,1986.0,brick_series,2021-11-05,2022-02-08,3,5,Нет,10,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.798237845352095,АН Ассоль,47.871509,56.650938
Многоквартирный дом,11000.0,212.0,52.0,2,,,Да,кирпич,1975.0,unknown,2021-02-19,2022-02-08,2,5,Нет,5,0,Панельные,центральное,3.6344512,Йошкар-Ола,3.364481842694258,Первый Мега-магазин недвижимости,47.943626,56.630723
Многоквартирный дом,8500.0,213.0,40.0,1,,8.0,Да,кирпич,1968.0,brick_series,2022-02-08,2022-02-10,3,9,Есть,1,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.249224125914385,Риелтор,47.870781,56.640872
Квартира,8500.0,193.0,44.0,2,28.0,6.0,unknown,панель,,unknown,2020-10-21,2022-02-08,3,5,0,0,0,0,0,3.6344512,Йошкар-Ола,2.8170877699178853,Первый Мега-магазин недвижимости,47.84648840327289,56.6321180069956
unknown,14000.0,368.0,38.0,1,18.0,10.0,Да,кирпич,2016.0,unknown,2022-02-09,2022-02-09,9,11,Нет,2,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,1.6742287143289334,Даниил,47.86362556969689,56.64024458598151
Многоквартирный дом,35000.0,461.0,76.0,3,61.0,10.0,Да,кирпич,2007.0,brick_series,2020-02-04,2022-02-04,4,5,Нет,9,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,0.9324130943069572,Виталий,47.887142,56.6469
Многоквартирный дом,12000.0,293.0,41.0,1,20.0,9.0,Да,кирпич,1988.0,unknown,2022-02-04,2022-02-10,2,5,Нет,6,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.851162490001795,Лилия,47.862696,56.644846
Многоквартирный дом,12000.0,267.0,45.0,1,20.0,10.0,Да,кирпич,2007.0,unknown,2021-09-30,2022-02-10,2,5,Нет,1,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,1.5307222132601408,"Агентство недвижимости ""КЛЮЧ""",47.879154,56.650933
Квартира,15000.0,375.0,40.0,1,18.0,9.0,unknown,кирпич,,unknown,2022-02-05,2022-02-06,5,9,0,0,0,0,0,3.6344512,Йошкар-Ола,3.896030225052162,Ксения,47.8274161354632,56.6410324735641
Многоквартирный дом,8500.0,243.0,35.0,1,,,Да,кирпич,1987.0,brick_series,2020-11-20,2022-02-07,1,5,Нет,6,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,2.5149868123088925,Наталья,47.908861,56.618502
unknown,16000.0,410.0,39.0,1,18.0,10.0,Да,кирпич,2016.0,unknown,2021-11-05,2022-02-05,5,9,Нет,2,Железобетонные,Кирпич,квартирное отопление (квартирный котел),3.6344512,Йошкар-Ола,1.6869950654332375,АН Ассоль,47.863406,56.640184
Многоквартирный дом,23000.0,426.0,54.0,2,30.0,8.0,Да,кирпич,1990.0,brick_series,2022-02-05,2022-02-10,5,5,Нет,6,Железобетонные,Кирпич,центральное,3.6344512,Йошкар-Ола,1.003090185983491,"АН ""Успех""",47.892682,56.64771700000001
Многоквартирный дом,13000.0,267.0,48.6,2,,6.0,Да,панель,1988.0,unknown,2022-02-04,2022-02-10,1,5,0,6,0,Панельные,центральное,3.6344512,Йошкар-Ола,3.731517472009974,Вероника,47.945440000000005,56.624093
